OBJECTID,TILE_NAME,LOCATION,PLAN_TILE,PLN_AREA,Z_APPROVAL,Z_DIMENSIO,ZONING,TRAN_COR,ANID
321,R11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r11.pdf,R11,P,P,P,P,N,321
322,R8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r8.pdf,R8,P,P,P,P,N,322
323,R7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r7.pdf,R7,P,P,P,P,N,323
324,R6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r6.pdf,R6,P,P,P,P,N,324
325,R5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r5.pdf,R5,P,P,P,P,N,325
326,R4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r4.pdf,R4,P,P,P,P,N,326
327,Q12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q12.pdf,Q12,P,P,P,P,N,327
328,Q11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q11.pdf,Q11,P,P,P,P,N,328
329,Q10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q10.pdf,Q10,P,P,P,P,N,329
330,Q8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q8.pdf,Q8,P,P,P,P,N,330
331,Q9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q9.pdf,Q9,P,P,P,P,N,331
332,Q7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q7.pdf,Q7,P,P,P,P,N,332
333,Q6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q6.pdf,Q6,P,P,P,P,N,333
334,Q5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q5.pdf,Q5,P,P,P,P,N,334
335,Q4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-q4.pdf,Q4,P,P,P,P,N,335
336,P12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p12.pdf,P12,P,P,P,P,N,336
337,P11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p11.pdf,P11,P,P,P,P,N,337
338,V4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-v4.pdf,V4,P,P,P,P,N,338
339,V5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-v5.pdf,V5,N,N,N,N,N,339
340,V6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-v6.pdf,V6,N,N,N,N,N,340
341,U4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-u4.pdf,U4,P,P,P,P,N,341
342,U5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-u5.pdf,U5,P,P,P,P,N,342
343,U6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-u6.pdf,U6,P,P,P,P,N,343
344,T4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-t4.pdf,T4,P,P,P,P,N,344
345,T5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-t5.pdf,T5,P,P,P,P,N,345
346,T6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-t6.pdf,T6,P,P,P,P,N,346
347,T3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-t3.pdf,T3,P,P,P,P,N,347
348,S7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-s7.pdf,S7,P,P,P,P,N,348
349,S8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-s8.pdf,S8,N,N,N,N,N,349
350,S4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-s4.pdf,S4,P,P,P,P,N,350
351,S5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-s5.pdf,S5,P,P,P,P,N,351
352,S6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-s6.pdf,S6,P,P,P,P,N,352
353,S3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-s3.pdf,S3,P,P,P,P,N,353
354,R12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r12.pdf,R12,P,P,P,P,N,354
355,R9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r9.pdf,R9,P,P,P,P,N,355
356,R10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-r10.pdf,R10,P,P,P,P,N,356
357,N11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n11.pdf,N11,P,P,P,P,N,357
358,N10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n9.pdf,N10,P,P,P,P,N,358
359,N12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n12.pdf,N12,P,P,P,P,N,359
360,N9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n9.pdf,N9,P,P,P,P,N,360
361,N6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n6.pdf,N6,P,P,P,P,N,361
362,N7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n7.pdf,N7,P,P,P,P,N,362
363,N8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n8.pdf,N8,P,P,P,P,N,363
364,N5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-n5.pdf,N5,P,P,P,P,N,364
365,M11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m11.pdf,M11,P,P,P,P,N,365
366,M10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m10.pdf,M10,P,P,P,P,N,366
367,M12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m12.pdf,M12,P,P,P,P,N,367
368,M9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m9.pdf,M9,P,P,P,P,N,368
369,M8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m8.pdf,M8,P,P,P,P,N,369
370,M6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m6.pdf,M6,P,P,P,P,N,370
371,M7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m7.pdf,M7,P,P,P,P,N,371
372,M5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-m5.pdf,M5,P,P,P,P,N,372
373,L10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l10.pdf,L10,P,P,P,P,N,373
374,L9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l9.pdf,L9,P,P,P,P,N,374
375,L11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l11.pdf,L11,P,P,P,P,N,375
376,L12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l12.pdf,L12,P,P,P,P,N,376
377,L8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l8.pdf,L8,P,P,P,P,N,377
378,L7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l7.pdf,L7,P,P,P,P,N,378
379,L6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l6.pdf,L6,P,P,P,P,N,379
380,L5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-l5.pdf,L5,P,P,P,P,N,380
381,K10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k10.pdf,K10,P,P,P,P,N,381
382,K11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k11.pdf,K11,P,P,P,P,N,382
383,K9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k9.pdf,K9,P,P,P,P,N,383
384,K12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k12.pdf,K12,P,P,P,P,N,384
385,K8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k8.pdf,K8,P,P,P,P,N,385
386,K7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k7.pdf,K7,P,P,P,P,N,386
387,K5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k5.pdf,K5,P,P,P,P,N,387
388,K6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-k6.pdf,K6,P,P,P,P,N,388
389,J10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j10.pdf,J10,P,P,P,P,N,389
390,J11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j11.pdf,J11,P,P,P,P,N,390
391,P10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p10.pdf,P10,P,P,P,P,N,391
392,P9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p9.pdf,P9,P,P,P,P,N,392
393,P8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p8.pdf,P8,P,P,P,P,N,393
394,P7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p7.pdf,P7,P,P,P,P,N,394
395,P6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p6.pdf,P6,P,P,P,P,N,395
396,P5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p5.pdf,P5,P,P,P,P,N,396
397,P4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-p4.pdf,P4,P,P,P,P,N,397
398,O9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o9.pdf,O9,P,P,P,P,N,398
399,O10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o10.pdf,O10,P,P,P,P,N,399
400,O11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o11.pdf,O11,P,P,P,P,N,400
401,O12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o12.pdf,O12,P,P,P,P,N,401
402,O8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o8.pdf,O8,P,P,P,P,N,402
403,O7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o7.pdf,O7,P,P,P,P,N,403
404,O6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o6.pdf,O6,P,P,P,P,N,404
405,O5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o5.pdf,O5,P,P,P,P,N,405
406,O4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-o4.pdf,O4,P,P,P,P,N,406
407,I11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i11.pdf,I11,P,P,P,P,N,407
408,I10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i10.pdf,I10,P,P,P,P,N,408
409,I9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i9.pdf,I9,P,P,P,P,N,409
410,I2,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i2.pdf,I2,P,P,P,P,N,410
411,I1,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i1.pdf,I1,P,P,P,P,N,411
412,H10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h10.pdf,H10,P,P,P,P,N,412
413,H5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h5.pdf,H5,P,P,P,P,N,413
414,H4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h4.pdf,H4,P,P,P,P,N,414
415,H7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h7.pdf,H7,P,P,P,P,N,415
416,H9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h9.pdf,H9,P,P,P,P,N,416
417,H6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h6.pdf,H6,P,P,P,P,N,417
418,H8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h8.pdf,H8,P,P,P,P,N,418
419,H12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h12.pdf,H12,P,P,P,P,N,419
420,H11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h11.pdf,H11,P,P,P,P,N,420
421,H3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h3.pdf,H3,P,P,P,P,N,421
422,H2,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h2.pdf,H2,P,P,P,P,N,422
423,H1,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-h1.pdf,H1,P,P,P,P,N,423
424,G5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g5.pdf,G5,P,P,P,P,N,424
425,G4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g4.pdf,G4,P,P,P,P,N,425
426,G7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g7.pdf,G7,P,P,P,P,N,426
427,G6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g6.pdf,G6,P,P,P,P,N,427
428,G10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g10.pdf,G10,P,P,P,P,N,428
429,G8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g8.pdf,G8,P,P,P,P,N,429
430,G9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g9.pdf,G9,P,P,P,P,N,430
431,G12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g12.pdf,G12,P,P,P,P,N,431
432,G3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g3.pdf,G3,P,P,P,P,N,432
433,G11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g11.pdf,G11,P,P,P,P,N,433
434,G2,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-g2.pdf,G2,P,P,P,P,N,434
435,F3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f3.pdf,F3,P,P,P,P,N,435
436,F4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f4.pdf,F4,P,P,P,P,N,436
437,F5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f5.pdf,F5,P,P,P,P,N,437
438,F6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f6.pdf,F6,P,P,P,P,N,438
439,F7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f7.pdf,F7,P,P,P,P,N,439
440,F8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f8.pdf,F8,P,P,P,P,N,440
441,F9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f9.pdf,F9,P,P,P,P,N,441
442,F10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f10.pdf,F10,P,P,P,P,N,442
443,F12,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f12.pdf,F12,P,P,P,P,N,443
444,F11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f11.pdf,F11,P,P,P,P,N,444
445,F2,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-f2.pdf,F2,P,P,P,P,N,445
446,E3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e3.pdf,E3,P,P,P,P,N,446
447,E4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e4.pdf,E4,P,P,P,P,N,447
448,E5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e5.pdf,E5,P,P,P,P,N,448
449,E6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e6.pdf,E6,P,P,P,P,N,449
450,E7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e7.pdf,E7,P,P,P,P,N,450
451,E8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e8.pdf,E8,P,P,P,P,N,451
452,E9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e9.pdf,E9,P,P,P,P,N,452
453,E10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e10.pdf,E10,P,P,P,P,N,453
454,E11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e11.pdf,E11,P,P,P,P,N,454
455,E2,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-e2.pdf,E2,P,P,P,P,N,455
456,D4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d4.pdf,D4,P,P,P,P,N,456
457,D5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d5.pdf,D5,P,P,P,P,N,457
458,D3,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d3.pdf,D3,P,P,P,P,N,458
459,D11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d11.pdf,D11,P,P,P,P,N,459
460,D10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d10.pdf,D10,P,P,P,P,N,460
461,D9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d9.pdf,D9,P,P,P,P,N,461
462,D2,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d2.pdf,D2,P,P,P,P,N,462
463,D7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d7.pdf,D7,P,P,P,P,N,463
464,D8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d8.pdf,D8,P,P,P,P,N,464
465,D6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-d6.pdf,D6,P,P,P,P,N,465
466,C11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c11.pdf,C11,P,P,P,P,N,466
467,C10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c10.pdf,C10,P,P,P,P,N,467
468,C8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c8.pdf,C8,P,P,P,P,N,468
469,C9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c9.pdf,C9,P,P,P,P,N,469
470,C4,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c4.pdf,C4,P,P,P,P,N,470
471,C7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c7.pdf,C7,P,P,P,P,N,471
472,C6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c6.pdf,C6,P,P,P,P,N,472
473,C5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-c5.pdf,C5,P,P,P,P,N,473
474,B11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b11.pdf,B11,P,P,P,P,N,474
475,B8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b8.pdf,B8,P,P,P,P,N,475
476,B10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b10.pdf,B10,P,P,P,P,N,476
477,B9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b9.pdf,B9,P,P,P,P,N,477
478,B7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b7.pdf,B7,P,P,P,P,N,478
479,B6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b6.pdf,B6,P,P,P,P,N,479
480,B5,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-b5.pdf,B5,P,P,P,P,N,480
481,A11,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-a11.pdf,A11,P,P,P,P,N,481
482,A8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-a8.pdf,A8,P,P,P,P,N,482
483,A7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-a7.pdf,A7,P,P,P,P,N,483
484,A10,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-a10.pdf,A10,P,P,P,P,N,484
485,A9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-a9.pdf,A9,P,P,P,P,N,485
486,A6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-a6.pdf,A6,P,P,P,P,N,486
487,J8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j8.pdf,J8,P,P,P,P,N,487
488,J9,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j9.pdf,J9,P,P,P,P,N,488
489,J7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j7.pdf,J7,P,P,P,P,N,489
490,J6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-j6.pdf,J6,P,P,P,P,N,490
491,I6,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i6.pdf,I6,P,P,P,P,N,491
492,I7,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i7.pdf,I7,P,P,P,P,N,492
493,I8,https://www.phoenix.gov/pddsite/Documents/PZ/pdd_pz_pdf_00324-i8.pdf,I8,P,P,P,P,N,493
